Thermocouple 0 (deg C)	Thermocouple 1 (deg C)	Thermocouple 2 (deg C)	Thermocouple 3 (deg C)
23.037	28.767	30.519	13.457
22.429	28.002	31.608	13.493
20.346	26.753	31.033	12.238
21.682	28.149	31.461	13.611
22.136	28.000	32.265	14.004
21.533	26.156	30.166	12.345
23.319	28.690	31.919	13.525
22.051	27.478	29.721	12.276
20.980	28.310	30.564	12.907
21.168	27.118	31.511	13.183
21.732	27.891	32.310	13.577
20.884	27.020	31.960	12.976
20.971	27.106	30.702	11.862
21.845	28.528	31.805	13.090
22.502	29.355	30.992	14.002
20.667	27.190	29.197	11.814
21.232	28.392	29.499	12.546
22.135	28.065	32.107	13.312
22.128	28.799	31.488	13.470
22.017	28.088	30.916	13.059
23.090	28.100	32.251	13.107
21.444	28.352	29.702	12.469
22.145	28.489	31.736	13.632
22.445	29.173	31.016	13.628
22.744	29.218	30.384	12.787
22.448	27.394	31.569	13.162
19.929	26.624	30.724	11.536
21.695	28.365	30.886	13.031
21.702	26.954	29.939	11.782
23.327	27.948	32.346	13.467
22.504	28.228	30.270	12.835
21.528	29.247	30.608	12.850
21.455	27.610	30.706	12.832
21.511	27.361	31.233	12.824
22.697	29.012	30.260	12.549
21.367	26.953	31.389	11.951
20.699	27.958	30.425	11.648
21.307	28.028	32.402	12.904
21.452	26.950	31.331	11.866
20.227	26.279	29.634	11.573
22.171	27.774	30.012	12.259
22.039	30.001	31.758	13.397
22.076	28.681	32.137	13.155
21.853	26.689	30.090	11.459
20.027	26.988	29.164	11.132
21.899	27.947	30.847	12.870
21.556	26.959	30.709	11.616
21.868	27.768	29.340	11.162
19.983	26.259	30.814	11.196
23.182	27.842	31.515	12.363
21.766	28.496	30.463	12.223
21.267	27.936	30.709	11.361
22.493	27.324	30.358	11.893
22.222	27.067	29.754	11.406
22.507	29.816	31.274	13.007
20.239	27.352	30.622	11.106
21.189	27.213	30.545	11.343
21.555	29.387	31.690	12.321
23.729	29.510	30.798	12.925
20.829	27.985	30.778	11.753
21.378	27.409	31.059	12.296
20.607	27.248	29.582	11.098
23.684	28.312	32.127	12.668
21.780	28.352	31.859	12.138
20.173	27.329	29.189	11.013
22.398	27.386	30.204	11.232
22.309	29.110	31.470	12.025
22.786	28.320	31.781	12.579
20.792	27.689	29.925	10.858
21.572	27.479	30.910	11.457
21.097	26.480	28.952	10.863
21.489	28.018	31.226	12.242
22.596	28.863	32.421	12.422
20.305	26.569	29.052	10.598
19.764	27.000	29.525	10.504
20.435	27.280	29.155	10.641
21.039	27.345	29.245	10.548
23.859	28.616	31.710	12.393
21.230	27.095	30.042	11.168
22.850	27.599	31.231	11.482
22.285	29.078	30.137	11.608
21.679	27.629	30.463	11.963
22.660	27.850	31.151	11.387
23.122	29.572	31.389	12.256
20.905	26.657	30.254	10.268
20.912	28.019	29.104	10.585
